Category,2021,2022,2023,2024,2025,2026
Sydney Opera House,91.7,86.2,131.6,137.4,143.2,0
Arts Centre Melbourne,81.9,80.6,112.6,103.5,104.7,0
Queensland Performing Arts Trust,53.5,62.6,81.2,87.8,92.4,0
Adelaide Festival Centre,33,42.8,54,53.2,53.6,0
Art Gallery of New South Wales,0,176.9,159.2,207.9,234.2,255.9
National Gallery of Victoria,0,134.9,139.6,150.8,147.9,152.2
Museum Victoria ,0,92.4,113,110.8,139.2,145.7
NGA Naturional Gallery of Australia,0,64.3,73.4,101.7,102.7,117.1
Opera Australia,0,134.8,136.3,113.7,108.2,108.2
The Australian Ballet,0,76.8,87,65.5,61.2,61.2
Sydne Symphony Orchestra,0,30.9,39.5,45.3,45.2,45.2
